137.856,219.266
138.716,227.444
139.885,235.997
141.381,244.508
143.215,252.96
145.388,261.315
147.917,269.548
150.923,277.618
154.497,285.414
158.662,292.896
163.332,300.036
168.45,306.797
174.053,313.157
180.014,319.092
186.346,324.546
193.113,329.436
200.322,333.554
207.978,336.73
215.97,338.928
224.161,340.234
232.44,340.608
240.716,339.996
248.86,338.422
256.776,335.895
264.357,332.458
271.501,328.198
278.209,323.203
284.494,317.663
290.374,311.652
295.862,305.268
300.968,298.487
305.585,291.349
309.643,283.818
313.077,275.956
315.905,267.848
318.238,259.55
320.184,251.142
321.79,242.65
323.095,234.1
324.063,225.52
324.668,216.512
211.746,216.066
208.649,221.956
205.247,228.131
203.206,234.843
204.604,241.487
209.733,245.851
216.259,247.837
222.981,249.035
229.809,249.62
236.633,249.075
243.345,247.892
249.86,245.948
255.101,241.769
256.661,235.185
254.723,228.488
251.182,222.382
247.74,215.921
193.029,275.394
197.844,272.52
203.258,270.635
208.905,269.16
214.713,268.144
220.665,267.646
226.696,267.576
232.755,267.538
238.812,267.384
244.835,267.446
250.767,268.046
256.491,269.242
261.583,271.423
264.428,275.314
263.636,280.351
260.206,285.008
255.664,288.897
250.57,291.982
245.091,294.221
239.296,295.637
233.272,296.272
227.191,296.167
221.254,295.301
215.595,293.612
210.295,291.086
205.384,287.861
200.859,284.096
196.704,279.936
197.609,275.938
202.08,275.256
206.723,274.975
211.435,274.859
216.211,274.902
221.03,275.095
225.872,275.312
230.731,275.356
235.593,275.147
240.435,274.855
245.243,274.611
249.993,274.498
254.63,274.592
258.934,275.16
260.975,277.032
257.129,278.868
252.738,280.166
248.193,281.192
243.531,282.01
238.775,282.63
233.948,283.029
229.087,283.101
224.257,282.797
219.505,282.157
214.854,281.291
210.314,280.262
205.9,279.107
201.63,277.719
253.629,187.111
255.87,184.1
258.748,181.605
261.952,179.633
265.39,178.211
269.04,177.362
272.851,177.127
276.652,177.529
280.274,178.508
283.633,180.141
286.493,182.579
286.282,186.075
283.129,187.991
279.603,189.174
275.889,189.848
272.055,190.076
268.2,189.935
264.398,189.518
260.646,188.959
256.965,188.363
203.714,186.37
201.604,183.54
198.653,181.372
195.417,179.77
191.953,178.743
188.309,178.302
184.61,178.447
181.025,179.152
177.644,180.412
174.533,182.288
171.867,184.752
173.414,187.228
176.519,188.994
179.931,190.124
183.532,190.729
187.247,190.894
190.973,190.693
194.64,190.229
198.261,189.641
201.8,188.883
245.518,164.713
249.196,159.455
254.882,156.456
261.033,154.59
267.406,153.423
273.89,152.76
280.402,152.592
286.833,153.23
292.962,154.987
298.548,158.087
302.984,162.699
301.115,167.105
295.124,165.949
288.993,164.384
282.641,163.562
276.159,163.577
269.706,164.282
263.338,165.473
257.035,166.848
250.701,167.623
209.953,164.178
206.167,159.328
200.36,156.624
194.125,155.003
187.69,154.05
181.183,153.647
174.713,153.882
168.439,155.094
162.586,157.557
157.41,161.406
153.38,166.482
155.954,169.489
161.934,168.293
167.909,166.389
174.109,165.137
180.513,164.77
186.979,165.176
193.402,166.125
199.773,167.342
206.2,167.966

